compound,smiles,bp_celsius,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,RingCount,HeavyAtoms,MolMR,FractionCSP3,NumAliphaticRings,BertzCT,Chi0,Chi1,Kappa1,Kappa2,LabuteASA,NumHeteroatoms,MaxPartialCharge,MinPartialCharge,NumStereocenters
bromobenzene,Brc1ccccc1,156.1,157.01,2.4491000000000005,0,0,0.0,0,1,1,7,34.142,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.849253731343284,2.123680215888008,51.298950725138326,1,0.0174752825114365,-0.0621899905650267,0
fluorobenzene,Fc1ccccc1,84.7,96.10399999999998,1.8257,0,0,0.0,0,1,1,7,26.399999999999995,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,4.31260162601626,1.7349674800723751,41.5969385224232,1,0.1227072403493724,-0.2070125221263808,0
iodobenzene,Ic1ccccc1,188.3,204.01,2.2912,0,0,0.0,0,1,1,7,39.15900000000001,0.0,0,134.10736969541455,5.112884175122364,3.393846850117352,5.09388489208633,2.3067105731577078,56.6932412405406,1,0.0129809037265691,-0.0621949266238613,0
1-chlorobutane,CCCCCl,78.4,92.569,2.0253,0,0,0.0,2,0,0,5,25.62799999999999,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,5.29,4.29,38.13734359790105,1,0.022285485122089,-0.126717152212131,0
1-bromobutane,CCCCBr,101.6,137.01999999999998,2.1814,0,0,0.0,2,0,0,5,28.701999999999988,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,5.48,4.480000000000002,41.70162497666073,1,0.0031152227076761,-0.092807985075221,0
dimethyl sulfide,CSC,37.3,62.137,0.9792,0,1,0.0,0,0,0,3,19.439,1.0,0,2.754887502163468,2.7071067811865475,1.4142135623730951,3.35,2.35,25.2273031675914,1,-0.0186782118882655,-0.1688616875245137,0
diethyl sulfide,CCSCC,92.1,90.191,1.7594,0,1,0.0,2,0,0,5,28.672999999999988,1.0,0,11.119415478763749,4.121320343559642,2.414213562373095,5.35,4.349999999999999,37.95718739638461,1,-0.0096122644807823,-0.1625839236731513,0
dimethyl sulfoxide,CS(C)=O,189.0,78.136,-0.0052999999999999,0,1,17.07,0,0,0,4,19.9904,1.0,0,29.019550008653876,3.5773502691896257,1.7320508075688772,4.150000000000002,1.4674603174603182,28.478447345802078,2,0.0148042140882218,-0.2601579626577377,0
dimethyl sulfone,CS(=O)(=O)C,238.0,94.135,-0.3391999999999999,0,2,34.14,0,0,0,5,20.767799999999998,1.0,0,90.81635834269238,4.5,2.0,4.95,0.9709730951204012,31.72959152401275,3,0.1441041774452434,-0.2294144591416005,0
thiophene,c1ccsc1,84.2,84.14299999999999,1.7480999999999998,0,1,0.0,0,1,1,5,24.319,0.0,0,60.12481811269772,3.5355339059327378,2.5,2.9127659574468083,1.2210502489814397,35.07176638990846,1,-0.009338438056026,-0.152454341484825,0
